authorization_notice_id,filing_date,patentee,address,IPC
CN209099143U,2018-07,公司,贵州省,E
CN209097680U,2018-07,研究所,上海市,B
CN209091796U,2018-07,个人,上海市,A
CN209090681U,2018-07,学校,浙江省,A
CN209098604U,2018-07,公司,安徽省,C
CN209089581U,2018-07,研究所,辽宁省,A
CN209089981U,2018-07,个人,河南省,A
CN209090384U,2018-07,公司,辽宁省,A
CN209093235U,2018-07,研究所,河北省,B
CN209091814U,2018-07,医院,江苏省,A
CN209098635U,2018-07,公司,江西省,C
CN209090730U,2018-07,公司,山东省,A
CN209090784U,2018-07,公司,山东省,A
CN209093221U,2018-07,公司,甘肃省,B
CN209091771U,2018-07,医院,浙江省,A
CN209091316U,2018-07,医院,江苏省,A
CN209091046U,2018-07,研究所,河北省,A
CN209101551U,2018-07,研究所,内蒙古自治区,F
CN209099927U,2018-07,公司,浙江省,E
CN209099637U,2018-07,学校,广东省,E
CN209098653U,2018-07,研究所,天津市,C
CN209090570U,2018-07,研究所,广东省,A
CN209099946U,2018-07,个人,福建省,E
CN209095773U,2018-07,个人,山东省,B
CN209091713U,2018-07,个人,四川省,A
CN209090360U,2018-07,公司,辽宁省,A
CN209100025U,2018-07,研究所,天津市,E
CN209091249U,2018-07,公司,山东省,A
CN209101857U,2018-07,公司,江苏省,F
CN209090264U,2018-07,公司,广东省,A
CN209090836U,2018-07,公司,山东省,A
CN209090512U,2018-07,个人,浙江省,"['A', 'F']"
CN209092493U,2018-07,学校,江苏省,A
CN209099551U,2018-07,研究所,安徽省,E
CN209099743U,2018-07,公司,北京市,E
CN209090949U,2018-07,公司,山东省,A
CN209095340U,2018-07,研究所,湖南省,B
CN209097985U,2018-07,个人,山东省,B
CN209100595U,2018-07,公司,广东省,F
CN209090917U,2018-07,公司,山东省,A
CN209090989U,2018-07,公司,山东省,A
CN209093413U,2018-07,研究所,山东省,"['B', 'G']"
CN209091022U,2018-07,公司,山东省,A
CN209091025U,2018-07,公司,山东省,A
CN209101241U,2018-07,研究所,江苏省,F
CN209102131U,2018-07,研究所,广东省,G
CN209096733U,2018-07,研究所,山东省,B
CN209091177U,2018-07,公司,广东省,A
CN209092163U,2018-07,研究所,浙江省,A
CN209101007U,2018-07,研究所,上海市,F
CN209090787U,2018-07,公司,广东省,A
CN209091252U,2018-07,公司,广东省,A
CN209096170U,2018-07,个人,上海市,B
CN209098644U,2018-07,公司,河南省,C
CN209092822U,2018-08,研究所,福建省,B
CN209103621U,2018-08,个人,河南省,G
CN209099812U,2018-08,研究所,上海市,E
CN209102433U,2018-08,公司,天津市,G
CN209091317U,2018-07,研究所,江苏省,A
CN209091623U,2018-07,研究所,广东省,A
CN209098323U,2018-07,研究所,广东省,C
CN209091160U,2018-07,公司,广东省,A
CN209095993U,2018-07,研究所,天津市,B
CN209093384U,2018-07,公司,上海市,B
CN209104814U,2018-07,公司,江苏省,H
CN209101008U,2018-07,研究所,上海市,F
CN209091251U,2018-07,公司,广东省,A
CN209091385U,2018-08,个人,湖北省,A
CN209100522U,2018-07,研究所,浙江省,F
CN209101711U,2018-08,公司,河南省,F
CN209091671U,2018-08,学校,北京市,A
CN209090824U,2018-08,个人,广东省,A
CN209097497U,2018-08,公司,湖北省,B
CN209091859U,2018-08,医院,江苏省,A
CN209090518U,2018-08,公司,浙江省,A
CN209099906U,2018-08,研究所,江苏省,"['E', 'H']"
CN209099907U,2018-08,研究所,江苏省,E
CN209095485U,2018-08,公司,江苏省,B
CN209092175U,2018-08,个人,山东省,A
CN209091897U,2018-08,医院,广西壮族自治区,A
CN209099926U,2018-08,公司,内蒙古自治区,E
CN209093502U,2018-08,公司,河南省,B
CN209101329U,2018-08,研究所,上海市,F
CN209096098U,2018-08,公司,山东省,"['B', 'F']"
CN209091756U,2018-08,医院,安徽省,A
